,,,,,,,,,,,,,
,,,,,,,,,,,,,
April 2023,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:31:17,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,2:23:42,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:14:10,,,classic_bike,19314,18495,22509,24324,28514,26934,29648,169738
casual Total,,0:27:40,,,docked_bike,1340,695,817,925,1219,1567,2324,8887
member,classic_bike,0:13:23,,,electric_bike,27660,26853,32992,36197,42092,41003,41168,247965
,electric_bike,0:10:24,,,Grand Total,48314,46043,56318,61446,71825,69504,73140,426590
member Total,,0:11:42,,,,,,,,,,,
Grand Total,,0:17:13,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
March 2023,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:26:00,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,2:12:23,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:10:44,,,classic_bike,10456,13351,17738,21798,18886,14963,9891,107083
casual Total,,0:21:25,,,docked_bike,477,330,382,551,371,441,468,3020
member,classic_bike,0:11:42,,,electric_bike,13642,18527,23227,28707,26770,23113,14589,148575
,electric_bike,0:09:26,,,Grand Total,24575,32208,41347,51056,46027,38517,24948,258678
member Total,,0:10:27,,,,,,,,,,,
Grand Total,,0:13:05,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
February 2023,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:25:08,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,2:30:50,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:10:55,,,classic_bike,14522,14733,16705,12332,10152,10298,11146,89888
casual Total,,0:23:12,,,docked_bike,762,293,277,157,113,165,428,2195
member,classic_bike,0:11:36,,,electric_bike,15008,16153,18502,13303,11587,11098,12711,98362
,electric_bike,0:09:48,,,Grand Total,30292,31179,35484,25792,21852,21561,24285,190445
member Total,,0:10:43,,,,,,,,,,,
Grand Total,,0:13:32,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
January 2023,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:22:27,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,3:32:06,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:09:41,,,classic_bike,10179,13558,17920,14974,12550,11700,9413,90294
casual Total,,0:22:55,,,docked_bike,395,284,245,208,150,199,257,1738
member,classic_bike,0:11:11,,,electric_bike,11792,14505,18116,15539,14967,13222,10128,98269
,electric_bike,0:09:31,,,Grand Total,22366,28347,36281,30721,27667,25121,19798,190301
member Total,,0:10:22,,,,,,,,,,,
Grand Total,,0:13:00,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
December 2022,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:23:35,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,3:26:12,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:10:04,,,classic_bike,6954,9983,11328,10339,14384,10765,9597,73350
casual Total,,0:22:17,,,docked_bike,320,157,171,196,334,343,404,1925
member,classic_bike,0:11:33,,,electric_bike,10186,13685,16526,15305,20554,15710,14565,106531
,electric_bike,0:09:53,,,Grand Total,17460,23825,28025,25840,35272,26818,24566,181806
member Total,,0:10:37,,,,,,,,,,,
Grand Total,,0:13:30,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
November 2022,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:23:05,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,1:54:51,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:11:25,,,classic_bike,14645,18755,26115,27509,25438,19145,12994,144601
casual Total,,0:21:17,,,docked_bike,912,512,768,860,1085,929,820,5886
member,classic_bike,0:12:07,,,electric_bike,18147,23338,35039,36858,30583,24788,18495,187248
,electric_bike,0:10:15,,,Grand Total,33704,42605,61922,65227,57106,44862,32309,337735
member Total,,0:11:08,,,,,,,,,,,
Grand Total,,0:14:10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
October 2022,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:23:11,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,0:46:30,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:14:22,,,classic_bike,21066,20162,12720,15878,15594,14986,23960,124366
casual Total,,0:19:49,,,docked_bike,1715,954,389,546,664,1065,1958,7291
member,classic_bike,0:12:51,,,electric_bike,24295,22462,15049,18658,19708,19198,28314,147684
,electric_bike,0:10:35,,,Grand Total,47076,43578,28158,35082,35966,35249,54232,279341
member Total,,0:11:43,,,,,,,,,,,
Grand Total,,0:14:37,,,,,,,,,,,
,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:31:44,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,5:10:53,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:13:31,,,classic_bike,15466,14250,8919,11024,10953,10678,17904,89194
casual Total,,0:32:28,,,docked_bike,1308,694,325,427,503,612,1454,5323
member,classic_bike,0:14:50,,,electric_bike,31197,27001,18040,22953,24402,24465,36769,184827
,electric_bike,0:10:41,,,Grand Total,47971,41945,27284,34404,35858,35755,56127,279344
member Total,,0:12:13,,,,,,,,,,,
Grand Total,,0:20:05,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
September 2022,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:24:03,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,0:50:30,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:15:18,,,classic_bike,18952,20689,22486,23776,29955,31013,30849,177720
casual Total,,0:21:47,,,docked_bike,1734,1505,1046,1236,1455,2030,3009,12015
member,classic_bike,0:13:38,,,electric_bike,16001,17706,19730,21751,28487,30678,26580,160933
,electric_bike,0:11:34,,,Grand Total,36687,39900,43262,46763,59897,63721,60438,350668
member Total,,0:12:45,,,,,,,,,,,
Grand Total,,0:16:35,,,,,,,,,,,
,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:31:29,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,4:47:11,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:15:00,,,classic_bike,13616,14700,16149,17607,22037,22799,21514,128422
casual Total,,0:34:12,,,docked_bike,1190,957,656,732,974,1351,1951,7811
member,classic_bike,0:14:55,,,electric_bike,20501,22917,26552,29909,39522,40844,34193,214438
,electric_bike,0:11:52,,,Grand Total,35307,38574,43357,48248,62533,64994,57658,350671
member Total,,0:13:09,,,,,,,,,,,
Grand Total,,0:22:02,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
August 2022,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:26:24,,,COUNTA of rideable_type,day_of_week,,,,,,,
,docked_bike,1:31:09,,,rideable_type,1,2,3,4,5,6,7,Grand Total
,electric_bike,0:16:18,,,classic_bike,20616,24384,29676,28881,22702,25648,27067,178974
casual Total,,0:26:00,,,docked_bike,2216,1697,2139,1855,1434,2402,2963,14706
member,classic_bike,0:14:25,,,electric_bike,22866,26403,32071,32992,26106,29725,29121,199284
,electric_bike,0:12:03,,,Grand Total,45698,52484,63886,63728,50242,57775,59151,392964
member Total,,0:13:19,,,,,,,,,,,
Grand Total,,0:19:15,,,,,,,,,,,
,,,,,,,,,,,,,
member_casual,rideable_type,AVERAGE of ride_length,,,,,,,,,,,
casual,classic_bike,0:29:16,,,COUNTA of rideable_type,day_of_week,,,,,,,
